filepath,ground_truth,system_verdict,final_score,score_Visual (Spatial),score_Audio (Mel+CNN),score_Audio Forensics (ECAPA),score_Cross-Modal (Lip-Sync),score_Facial Biometric (Quality)
ru_134_to_es_Bark_label_fake.npz,Fake,Deepfake,0.925894,0.464238,0.990669,0.973067,0.916503,0.924622
es_41_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.950737,0.864782,0.911004,0.933070,0.986172,0.981284
fr_83_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.956977,0.832569,0.963977,0.953354,0.966010,0.975828
zh_45_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.956506,0.921599,0.964687,0.935394,0.953852,0.988226
en_50_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.965038,0.930387,0.847873,0.957572,0.981178,0.991713
zh_14_to_en_Bark_label_fake.npz,Fake,Deepfake,0.966160,0.943835,0.989390,0.945072,0.966227,0.993126
ja_32_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.958284,0.840926,0.991719,0.940352,0.978538,0.987542
en_93_to_ja_Vall_label_fake.npz,Fake,Deepfake,0.829964,0.737481,0.390592,0.751536,0.898321,0.987248
zh_128_to_en_Bark_label_fake.npz,Fake,Deepfake,0.926248,0.742108,0.982990,0.911549,0.986516,0.946126
fr_51_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.958901,0.773860,0.982846,0.951408,0.962103,0.990633
fr_29_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.924486,0.861695,0.612004,0.905231,0.973129,0.988955
fr_51_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.891753,0.874146,0.337948,0.867870,0.968026,0.982297
en_88_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.965866,0.938878,0.918566,0.954630,0.970726,0.989535
en_106_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.974284,0.949143,0.981862,0.960272,0.983865,0.992071
zh_123_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.965273,0.881573,0.913700,0.959847,0.981173,0.987031
fr_59_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.978981,0.924742,0.991241,0.981092,0.954015,0.989397
zh_3_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.894490,0.938282,0.663065,0.837725,0.899509,0.992845
zh_116_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.931776,0.565497,0.975189,0.953752,0.952134,0.943827
ja_28_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.966770,0.883243,0.996551,0.961181,0.943126,0.988389
zh_51_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.966477,0.938549,0.975951,0.944668,0.991632,0.989966
en_57_label_real.npz,Real,Real,0.027002,0.134792,0.017903,0.029185,0.020889,0.011842
ja_25_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.969578,0.925794,0.991366,0.952899,0.978763,0.991541
ar_67_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.966142,0.845681,0.953752,0.972399,0.967466,0.976698
zh_82_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.973346,0.912594,0.998172,0.966508,0.968401,0.988684
en_90_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.929182,0.811427,0.886328,0.901017,0.927768,0.988742
fr_91_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.967804,0.864733,0.973604,0.964576,0.968254,0.985723
ru_85_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.952957,0.786765,0.984146,0.959611,0.975316,0.957301
en_1_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.783502,0.311291,0.991187,0.836677,0.124295,0.941269
zh_119_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.949587,0.703403,0.994855,0.939813,0.981675,0.981689
ru_88_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.962134,0.857635,0.997816,0.949839,0.986148,0.980912
ru_131_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.943751,0.579310,0.997695,0.959795,0.960045,0.962825
ru_118_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.901691,0.872378,0.529971,0.864796,0.977126,0.984864
zh_98_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.954716,0.814293,0.958504,0.968008,0.899624,0.972887
es_107_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.963115,0.776199,0.992165,0.961399,0.963384,0.987796
es_54_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.967224,0.947930,0.982831,0.951535,0.955044,0.991402
en_73_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.869204,0.667178,0.982700,0.881768,0.524379,0.964220
es_107_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.628446,0.880489,0.399707,0.278388,0.920860,0.991644
en_87_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.918550,0.685066,0.983512,0.959886,0.940965,0.883073
es_105_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.955928,0.798351,0.939870,0.946882,0.968819,0.988680
ru_73_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.988778,0.909265,0.992134,0.999002,0.969119,0.992130
zh_67_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.960608,0.854656,0.984585,0.953585,0.949111,0.984634
ar_23_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.906509,0.864794,0.776081,0.856235,0.936820,0.987080
zh_111_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.964028,0.907110,0.997022,0.946925,0.967241,0.988517
en_71_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.951150,0.935781,0.926046,0.917491,0.976224,0.993045
fr_39_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.945408,0.685833,0.711584,0.962225,0.974460,0.985970
ar_54_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.949010,0.730390,0.994686,0.952632,0.919004,0.977632
en_51_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.970564,0.882356,0.838346,0.975073,0.988608,0.991102
fr_62_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.925450,0.860525,0.906740,0.924527,0.949912,0.931596
ru_25_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.937164,0.717611,0.622119,0.961909,0.962129,0.974587
ru_20_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.936870,0.915193,0.967152,0.885857,0.973039,0.990894
zh_12_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.972152,0.947080,0.988183,0.966677,0.950690,0.986615
en_39_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.936081,0.843499,0.857603,0.908565,0.967787,0.986836
fr_55_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.959505,0.853291,0.997364,0.971219,0.878775,0.977276
fr_10_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.972983,0.884284,0.969397,0.967232,0.978782,0.991904
zh_109_to_es_Bark_label_fake.npz,Fake,Deepfake,0.961199,0.893072,0.926777,0.949962,0.979327,0.985118
en_31_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.932350,0.800012,0.816135,0.926587,0.931630,0.975474
ru_107_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.964199,0.803106,0.915907,0.966128,0.978186,0.987634
es_98_to_en_Bark_label_fake.npz,Fake,Deepfake,0.947239,0.813987,0.969609,0.949925,0.966992,0.953983
ar_30_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.956284,0.806060,0.863562,0.951634,0.985939,0.988495
fr_120_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.954853,0.820830,0.892701,0.955486,0.965592,0.978996
ja_9_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.966296,0.862714,0.978166,0.957526,0.970662,0.989426
ru_126_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.949836,0.790162,0.976148,0.935742,0.990017,0.975527
es_30_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.942586,0.634445,0.949961,0.973202,0.982139,0.934889
es_39_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.961310,0.915231,0.671956,0.972795,0.982220,0.988489
zh_75_to_es_Bark_label_fake.npz,Fake,Deepfake,0.972670,0.851608,0.976541,0.971152,0.980291,0.989187
zh_95_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.965350,0.915014,0.984156,0.957909,0.924745,0.991023
ru_42_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.943103,0.841764,0.955244,0.956967,0.954404,0.934792
zh_72_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.961410,0.930723,0.951625,0.944263,0.969428,0.986947
ja_26_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.981542,0.914493,0.991491,0.981107,0.981811,0.990183
en_60_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.939748,0.673655,0.989938,0.944243,0.927655,0.968267
zh_79_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.952317,0.875061,0.633009,0.961868,0.984983,0.987357
fr_94_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.969323,0.885586,0.997182,0.957039,0.978733,0.990412
en_111_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.939537,0.794011,0.780530,0.933601,0.950795,0.987457
ar_6_label_real.npz,Real,Real,0.323242,0.502914,0.492886,0.452572,0.581510,0.033268
ar_49_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.826489,0.546801,0.992103,0.956075,0.879736,0.660962
zh_126_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.967135,0.927538,0.976163,0.951620,0.988196,0.985433
zh_65_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.972190,0.883425,0.848784,0.983326,0.975379,0.987272
zh_1_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.937764,0.913278,0.975618,0.914835,0.844035,0.992114
es_19_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.958917,0.910330,0.937268,0.952785,0.923345,0.986999
ar_41_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.929841,0.748016,0.939302,0.906172,0.952799,0.978337
en_36_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.966268,0.914469,0.990035,0.960910,0.920390,0.990269
es_88_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.972553,0.926367,0.945033,0.965796,0.991274,0.986421
en_71_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.952023,0.753141,0.995023,0.958649,0.911656,0.977307
fr_17_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.856080,0.586965,0.977663,0.971661,0.829771,0.736068
en_4_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.809023,0.319934,0.692321,0.862585,0.931720,0.791644
zh_57_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.958617,0.940817,0.960729,0.937186,0.945750,0.992089
zh_46_to_ja_Vall_label_fake.npz,Fake,Deepfake,0.581083,0.905483,0.406931,0.158902,0.971617,0.990843
en_13_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.933327,0.913807,0.812456,0.897612,0.972191,0.988198
zh_4_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.963594,0.946500,0.976769,0.946753,0.955703,0.988061
fr_57_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.921925,0.919834,0.275038,0.927416,0.984674,0.989648
en_95_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.945352,0.928817,0.957566,0.959827,0.725673,0.990123
es_116_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.971650,0.937870,0.998860,0.958116,0.975577,0.988867
fr_37_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.933348,0.547650,0.940741,0.941839,0.952605,0.970972
ru_42_label_real.npz,Real,Real,0.077438,0.410212,0.037487,0.054626,0.055293,0.071264
zh_17_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.970518,0.947552,0.823020,0.971455,0.977740,0.991603
es_56_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.960187,0.862756,0.992647,0.945929,0.966838,0.985901
fr_71_label_real.npz,Real,Real,0.069224,0.185686,0.319823,0.081803,0.024352,0.013434
ru_54_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.862220,0.715178,0.879274,0.762303,0.939278,0.987238
zh_101_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.957110,0.793234,0.958886,0.954260,0.975027,0.978812
es_9_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.929227,0.840948,0.987091,0.944291,0.893721,0.924350
en_10_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.944849,0.874813,0.914127,0.932130,0.901084,0.988100
en_113_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.954215,0.872273,0.703489,0.985928,0.845593,0.991999
es_96_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.976672,0.940237,0.991274,0.966939,0.978427,0.991802
ru_53_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.943907,0.795259,0.991712,0.932899,0.982902,0.961326
en_47_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.812018,0.523568,0.990051,0.968754,0.840336,0.618183
ru_26_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.926613,0.522964,0.828182,0.972205,0.885129,0.951573
fr_10_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.973515,0.903971,0.997087,0.961348,0.985272,0.992366
en_72_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.963746,0.941508,0.812293,0.956755,0.980671,0.992713
en_123_label_real.npz,Real,Deepfake,0.514742,0.433892,0.007431,0.874234,0.032364,0.274383
ar_33_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.958626,0.754230,0.937056,0.957973,0.968718,0.988864
fr_18_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.970120,0.834832,0.916175,0.971651,0.985303,0.990848
en_31_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.957120,0.890891,0.994642,0.944508,0.918833,0.988376
en_79_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.975021,0.936904,0.991589,0.970498,0.947141,0.991881
fr_114_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.882758,0.669888,0.872596,0.833382,0.912820,0.969513
es_26_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.896481,0.806941,0.989322,0.948428,0.972479,0.807506
zh_74_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.967945,0.783178,0.971913,0.971814,0.966130,0.989318
ar_36_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.958972,0.826555,0.987516,0.958947,0.959507,0.973689
zh_21_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.969036,0.933170,0.994382,0.950987,0.982599,0.989869
es_15_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.910670,0.714704,0.978083,0.958359,0.952092,0.855884
en_46_label_real.npz,Real,Real,0.052735,0.078052,0.120093,0.086831,0.011399,0.007467
ru_40_to_en_Bark_label_fake.npz,Fake,Deepfake,0.962779,0.859756,0.976101,0.950202,0.978103,0.987386
ru_71_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.956564,0.789635,0.993102,0.966133,0.941308,0.967247
es_62_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.974172,0.924069,0.986613,0.964042,0.978077,0.991462
ru_24_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.918325,0.604178,0.887330,0.935126,0.941945,0.939282
es_34_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.908588,0.904556,0.572006,0.885591,0.974247,0.968054
en_52_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.832206,0.534319,0.958305,0.963674,0.972696,0.647576
zh_55_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.952781,0.925545,0.946034,0.945253,0.873840,0.989870
ru_92_to_es_Bark_label_fake.npz,Fake,Deepfake,0.900074,0.817685,0.930051,0.896739,0.981097,0.888700
es_60_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.969882,0.914479,0.953559,0.958882,0.979645,0.991481
ru_81_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.949468,0.816204,0.981139,0.933006,0.975353,0.977752
zh_108_to_en_Vall_label_fake.npz,Fake,Deepfake,0.669303,0.918083,0.079880,0.389035,0.984726,0.988190
ru_43_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.816286,0.776694,0.964479,0.713142,0.957868,0.892932
en_92_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.949093,0.854631,0.979448,0.934977,0.899994,0.990428
fr_18_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.960305,0.864523,0.884477,0.956473,0.976020,0.985257
en_10_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.963362,0.914818,0.740896,0.973471,0.961854,0.989511
zh_69_label_real.npz,Real,Real,0.193964,0.463257,0.041523,0.177695,0.758186,0.036981
en_46_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.970931,0.890340,0.952020,0.968908,0.973368,0.987051
fr_25_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.966273,0.881170,0.983077,0.958518,0.951391,0.990254
zh_100_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.956599,0.844209,0.973704,0.939825,0.971213,0.987603
fr_95_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.970511,0.875336,0.910312,0.976132,0.958142,0.989013
es_77_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.966064,0.820846,0.979235,0.966928,0.958377,0.986012
ru_133_to_en_Bark_label_fake.npz,Fake,Deepfake,0.932120,0.531816,0.983216,0.945082,0.955577,0.958639
es_88_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.959443,0.927635,0.995874,0.930078,0.991114,0.987490
ru_14_label_real.npz,Real,Real,0.143447,0.131255,0.023610,0.093628,0.838132,0.027879
fr_35_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.962033,0.803367,0.997348,0.964483,0.965051,0.975641
es_115_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.967700,0.885058,0.998210,0.953466,0.985872,0.988257
fr_58_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.963653,0.918187,0.989859,0.939843,0.988093,0.990035
es_113_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.841176,0.632979,0.999118,0.961657,0.836829,0.694692
ja_41_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.933899,0.797927,0.989110,0.963872,0.976523,0.894722
ja_36_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.954148,0.678294,0.990819,0.956193,0.985774,0.976653
en_39_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.966499,0.893496,0.961554,0.957835,0.981638,0.984447
es_18_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.965853,0.911985,0.974849,0.947247,0.990384,0.989177
en_122_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.979578,0.927136,0.995315,0.978455,0.977746,0.986789
es_8_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.936953,0.850126,0.993620,0.950475,0.903329,0.933483
fr_23_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.930620,0.858047,0.987102,0.892868,0.913243,0.986423
zh_41_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.965002,0.890657,0.997331,0.964175,0.989006,0.965210
fr_73_label_real.npz,Real,Real,0.077377,0.076309,0.134074,0.139022,0.009435,0.009584
zh_89_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.960536,0.777858,0.925400,0.961280,0.979881,0.985169
es_4_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.921121,0.835575,0.464566,0.929752,0.983287,0.969705
en_35_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.968775,0.859747,0.981566,0.972520,0.931627,0.988322
en_2_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.894063,0.598136,0.991353,0.964217,0.504491,0.943547
en_60_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.946720,0.647799,0.979392,0.971223,0.910455,0.963612
es_116_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.965162,0.899755,0.737451,0.974662,0.986168,0.988821
fr_62_to_en_Bark_label_fake.npz,Fake,Deepfake,0.897283,0.895759,0.997685,0.808923,0.925002,0.988844
ja_58_to_es_Bark_label_fake.npz,Fake,Deepfake,0.963886,0.903911,0.991265,0.955710,0.948362,0.983490
en_120_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.965526,0.942754,0.991587,0.948199,0.958496,0.989342
zh_4_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.946570,0.937702,0.957886,0.914571,0.948065,0.986935
ru_72_to_en_Bark_label_fake.npz,Fake,Deepfake,0.957137,0.925183,0.992799,0.930689,0.954520,0.991359
fr_26_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.965979,0.937473,0.998516,0.943792,0.970835,0.992542
es_15_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.928185,0.742300,0.987987,0.943585,0.953053,0.919293
es_6_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.867874,0.713122,0.897258,0.918993,0.922864,0.804347
fr_8_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.913135,0.830119,0.917232,0.843380,0.986672,0.993085
ru_101_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.947602,0.940054,0.800912,0.929077,0.979614,0.984307
fr_1_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.953823,0.817652,0.954189,0.939348,0.979074,0.984621
en_125_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.952084,0.594096,0.993752,0.954208,0.985530,0.984985
fr_27_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.961702,0.873528,0.995766,0.948218,0.981241,0.981187
es_121_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.956053,0.815578,0.974225,0.948369,0.960590,0.982107
en_56_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.920511,0.623049,0.950352,0.947925,0.948254,0.915569
ru_127_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.962879,0.811296,0.987675,0.968407,0.970549,0.971694
zh_21_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.969534,0.922418,0.981992,0.955093,0.980955,0.989790
en_120_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.917815,0.914549,0.614720,0.883574,0.985609,0.986234
zh_94_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.960729,0.928162,0.984100,0.935815,0.964180,0.993089
zh_76_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.823773,0.455237,0.989474,0.966585,0.969911,0.627381
en_30_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.953506,0.844268,0.991387,0.960244,0.854650,0.983280
es_50_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.959445,0.928036,0.967910,0.937135,0.973467,0.987402
es_10_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.908538,0.811060,0.980300,0.936376,0.960704,0.861516
en_70_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.919220,0.901420,0.927336,0.888740,0.963747,0.947069
es_23_to_en_Bark_label_fake.npz,Fake,Deepfake,0.934803,0.777481,0.845359,0.957278,0.957686,0.934620
en_109_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.973144,0.949439,0.944072,0.961988,0.983085,0.992187
zh_75_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.957086,0.867711,0.778195,0.957327,0.974374,0.990160
ar_38_label_real.npz,Real,Real,0.089823,0.264438,0.047363,0.102156,0.214928,0.019342
fr_48_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.942330,0.507819,0.990219,0.956423,0.941694,0.979625
fr_29_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.951399,0.833682,0.992222,0.925704,0.978218,0.987759
fr_21_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.924775,0.845458,0.466654,0.935967,0.956040,0.978229
fr_58_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.968193,0.926842,0.985837,0.949826,0.989722,0.989043
es_19_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.901169,0.687071,0.912660,0.957489,0.619430,0.938199
ru_37_to_es_Bark_label_fake.npz,Fake,Deepfake,0.903013,0.875256,0.952918,0.907279,0.581673,0.986175
ja_5_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.959429,0.889060,0.993547,0.937406,0.971938,0.989349
es_96_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.953356,0.925462,0.962443,0.927436,0.967347,0.985370
en_42_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.967591,0.926506,0.994506,0.948102,0.985010,0.989696
fr_78_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.851356,0.810617,0.984706,0.889660,0.341987,0.934412
ar_19_label_real.npz,Real,Real,0.042634,0.144463,0.016108,0.056356,0.030460,0.017713
zh_93_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.974280,0.928525,0.700886,0.998571,0.969360,0.990048
es_46_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.921474,0.923499,0.950672,0.854159,0.964365,0.991308
ru_18_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.829415,0.339817,0.995970,0.960342,0.483591,0.806037
zh_49_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.970579,0.925958,0.984949,0.955397,0.985781,0.990078
zh_4_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.971129,0.932503,0.969486,0.967629,0.931969,0.992571
es_68_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.948204,0.858728,0.837201,0.967266,0.966681,0.947057
es_74_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.901305,0.595824,0.913735,0.928807,0.902342,0.907513
es_13_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.972302,0.932089,0.954029,0.967353,0.962242,0.989895
ja_4_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.965801,0.914298,0.988218,0.948278,0.970305,0.991199
zh_13_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.979090,0.942493,0.992414,0.969242,0.985364,0.993284
zh_98_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.938887,0.703095,0.923298,0.961324,0.938338,0.946109
es_116_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.966038,0.937782,0.984765,0.947224,0.976895,0.988487
es_108_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.942282,0.581130,0.950155,0.959408,0.941195,0.971042
fr_37_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.867312,0.535099,0.935351,0.929419,0.704255,0.871787
ru_45_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.584098,0.330001,0.982534,0.898113,0.134931,0.288077
ru_22_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.923335,0.728949,0.960127,0.889210,0.972461,0.975687
ru_45_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.596455,0.316728,0.978179,0.896880,0.256381,0.292786
es_22_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.928448,0.619457,0.991146,0.909913,0.914061,0.991573
zh_97_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.964924,0.803172,0.932618,0.965450,0.975140,0.989051
fr_36_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.851435,0.733436,0.991584,0.913965,0.372263,0.904780
es_20_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.973140,0.926498,0.948713,0.964818,0.985111,0.990571
es_55_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.978838,0.932882,0.992492,0.972746,0.977323,0.991717
